7-Eleven stores were temporarily converted into Kwik E-marts to promote the release of what movie?,THE SIMPSONS MOVIE
Typically preferring to wade rather than swim which of these birds does not have webbed feet?,CRANE
Typically served as a Southern side dishspoonbread is a pudding-like bread with what ingredient?,CORNMEAL
U.N. Lifts Beluga Ban was the headline for a 2010 news story about international restrictions on what luxury item?,CAVIAR
U2’s hit song “Vertigo” begins with the line “Unodostrescatorce”spanish for onetwothree” what?,FOURTEEN
UGG a trendy brand that specializes in sheepskin boots originated in what country?,AUSTRALIA
Unaware he was starting an Internet fadin 2007 Charlie Schmidt posted a YouTube video of his cat Fatso doing what?,PLAYING A KEYBOARD
Under European Lawbottles of “traditional balsamic vinegar” can only be produced in two provinces of what country?,ITALY
Understood by folks familiar with the metric systemwhat day always falls within “National Metric Week”?,OCTOBER 10TH
Unhappy with the 2010 Nobel Peace Prize awardwhat country launched its own “Confucius Peace Prize”?,CHINA
Unimpressed by cupies split lifts and basket tosses a federal judge ruled in 2010 that what is not a sport?,CHEERLEADING
Until 1834 John Jacob Astor was America’s most successful businessman in what industry?,FUR
Until 1949regular packs of chocolate M&Ms included which of these colors?,VIOLET
Until his abrupt dismissal in 2011 John Galliano had been head designer of what fashion house since 1996?,CHRISTIAN DIOR
Until it was discovered to be toxic asbestos was commonly used in buildings to guard against what?,FIRE
Updated in 1997 to honor Princess Diana “Candle in the Wind” was originally a tribute to what actress?,MARILYN MONROE
Upon his arrival in D.C. in 2011 what newly-elected senator moved in with his congressman father Ron?,RAND PAUL
Upon losing the Tour de France in 2010what athlete declared “I wasn’t fast enough in the end”?,LANCE ARMSTRONG
Upon the cancellation of “Ugly Betty” what actress joined the cast of “Desperate Housewives” in 2010?,VANESSA WILLIAMS
Urushiola toxic resincauses the typical rashes and itchiness associated with which of these plants?,POISON IVY
Used for centuries to make gunpowder and cure meats potassium nitrate is commonly called what?,SALTPETER
Used in a variety of dishesgaram marsala is a blend of ground spices commonly used in what cuisine?,INDIAN
Used in airports to detect sick passengersthermal scanners measure a person’s what?,TEMPERATURE
Used to describe a carefree lifestyle “bohemian” refers to an area in what modern day country?,CZECH REPUBLIC
Used to describe something petty or of little value the word “picayune” once referred to a type of Spanish what?,COIN
Used to gauge stock market performance the Dow Jones Industrial tracks how many companies?,30
Used to indicate academic honors the Latin phrase “magna cum laude” literally means what?,WITH GREAT PRAISE
Used to make ropesisal fiber is a common material also found in which of these sporting goods?,DARTBOARD
Used to mean “finishing strong” the phrase “sticking the landing” comes from what sport?,GYMNASTICS
Used to provide structure to connective tissuewhat is the most abundant protein in the human body?,COLLAGEN
Used to refer to a computer’s unique location in cyberspace “IP address” is short for “internet” what?,PROTOCOL ADDRESS
Used to test visionthe Snellen eye chart typically has what boldsingle letter in the top row?,E
Using its local specialty in 2009 the city of Portland Maine created a 61-foot long what?,LOBSTER ROLL
Usually a male roleProspero is played by Dame Helen Mirren in the 2010 film of what Shakespeare play?,THE TEMPEST
Usually associated with piratesthe “Jolly Roger” is a distinctive what?,FLAG
Usually considered a minor injury what is the medical term for a common bruise?,CONTUSION
Usually either white or brownthe shell color of chicken eggs is determined by which of these factors?,THE BREED OF HEN
Usually referred to by his first namethe Renaissance artist Michelangelo had what surname?,BUONARROTI
Varieties of what beauty aid are often advertised as being “acetone-free”?,NAIL POLISH REMOVER
Vendors at Seattle’s Pike Place Market are world famous for doing what?,THROWING FISH
Viral conjunctivitis is a highly contagious eye infection better known as what?,PINK EYE
Visible even with the naked eyewhich of these planets is brightest in the evening sky?,VENUS
Voiced by Johnny Depp the title character in the 2011 animated movie “Rango” is what kind of desert creature?,CHAMELEON
Voiced by Johnny Deppthe title character in the 2011 animated movie “Rango” is what kind of desert creature?,CHAMELEON
Walt Whitman’s poem “When Lilacs Last in the Dooryard Bloom’d” was written as an elegy for what notable American?,ABRAHAM LINCOLN
Walter and Cordelia Knott founders of Knott’s Berry Farm introduced what berry in the 1930s?,BOYSENBERRY
Washing a dog in tomato juice is a traditional home remedy for what?,REMOVING SKUNK ODOR
Web sites like WallStreetJournal.com charge for some of their content by keeping it behind a so-called what?,PAY WALL
Well-known to sailors in the tropicswinds that blow steadily from east to west and toward the equator are called what?,TRADE WINDS
West Pointthe oldest military academy in the United Statesis located on the bank of what river?,HUDSON
What 1960s Raquel Welch film was advertised with the slogan “Mankind’s First Bikini!”?,ONE MILLION YEARS B.C.
What 2009 big screen comedy features Betty White as a wacky grandmother?,THE PROPOSAL
What 2009 hit single by Shakira has a Spanish version called “Loba”?,SHE WOLF
What 2009 hit song heavily samples a 1985 song by the band “Dead or Alive”?,RIGHT ROUND
What 2010 movie prominently features a mythical beast called a kraken?,CLASH OF THE TITANS
What 2011 documentary follows a late night comic on a cross country tour after being fired from NBC?,CONAN O’BRIEN CAN’T STOP
What 2011 superhero movie was marketed in Russia using only its subtitle “The First Avenger”?,CAPTAIN AMERICA
What 60s TV show peppered its fight scenes with words such as “kapow” or “biff” flashed onto the screen?,BATMAN
What 70s song invariably compels dancers to spell out each letter of the song with their bodies?,YMCA
What actor delivers the oft-misquoted line That dirty double-crossing rat” in the 1931 film “Blonde Crazy”?,JAMES CAGNEY
What actor donned fake chest hair and a bald cap for a cameo in the 2008 comedy “Tropic Thunder”?,TOM CRUISE
What actor established the Make It Right Foundationwhich aims to build “green” housing in New Orleans?,BRAD PITT
What actor once blamed his career slump on a 1982 People magazine article that mistakenly referred to him as deceased?,ABE VIGODA
What actor plays the mustachioed slacker “Wooderson” in the 1993 indie film “Dazed and Confused”?,MATTHEW MCCONAUGHEY
What actor starred in a film version of Arthur Miller’s “The Crucible” and then married Miller’s daughter Rebecca?,DANIEL DAY-LEWIS
What actor starred in the 1990s movies “Universal Soldier” and “Universal Soldier: The Return”?,JEAN CLAUDE-VAN DAMME
What actor’s guest role on a Showtime series inspired the 2010 headline “Close Encounters of the Weed Kind”?,RICHARD DREYFUSS
What actor’s mother reportedly named him after he kicked her in the womb while she was looking at a Da Vinci painting?,LEONARDO DICAPRIO
What actress and international sex symbol was the inspiration for the term “sex kitten”?,BRIGITTE BARDOT
What actress stars as as ruthless litigator Patty Hewes in the TV drama “Damages”?,GLENN CLOSE
What actress was the subject of a 2011 NY Times piece titled “All About the Woman Behind Erica Kane”?,SUSAN LUCCI
What ad mascot is often depicted wearing epaulets?,CAP’N CRUNCH
What adjective is often used to describe an unscrupulous political leader’s behavior?,MACHIAVELLIAN
